precatalyst_scaffold_SMILES,ligand_SMILES,t_res,temperature,catalyst_loading,yld
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,65.3,2.512,22.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,60,65.3,2.513,0.7
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,65.3,1.13,6.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,600,105.1,2.513,4.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,2.352,76.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,110,2.438,80.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,2.317,87.4
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,2.345,80.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,600,110,2.393,49.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,600,48.3,0.748,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,124.3,110,1.113,10.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,202.9,110,1.219,62.6
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,160.9,110,1.074,59.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,123.2,110,1.105,85.8
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,83.8,1.061,51.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,60,110,1.419,35.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,1.672,88.8
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,110,1.312,78.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,1.417,87.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,186.8,110,2.494,75.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,149.9,110,2.493,79.8
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,186.8,103.6,2.515,83.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,179.9,110,2.512,86.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,1.502,85
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,1.927,84.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,137.9,110,1.312,79.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,110,1.647,81.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,177.6,110,1.048,81.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,188.8,110,1.446,71.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,211.9,110,1.368,82
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,239.7,110,1.332,68.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,253.3,110,1.048,87
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,108.9,110,1.275,83.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,66.6,110,2.409,86.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,192.1,110,1.731,83.3
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,221.3,110,1.077,81.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,192.7,110,1.871,77.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,180.1,110,1.303,84.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,144,110,1.899,84.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,146.6,110,2.038,87.7
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,2.493,85.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,101.5,110,1.926,90.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,2.126,81.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,218.5,110,1.105,89.4
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,135.7,110,1.814,73.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,0.935,79.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,147.9,110,1.591,82.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,162.9,110,1.701,68
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,162.1,110,1.675,90.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,1.218,90.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,1.424,70.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,110,1.417,94.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,110,1.926,87.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,60,110,1.757,77.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,1.787,81
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,110,1.616,84.5
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,1.303,84
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,1.218,79.6
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,110,1.587,75
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,600,110,1.787,78
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,40.2,0.503,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,60,40.1,0.503,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,229.2,110,1.619,80.1
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cccc2OC)OC,600,30,2.494,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)(C)P(C(C)(C)C)C(C)(C)C,189.7,65.3,1.113,0.8
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,600,71.7,1.196,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC(C)Oc1cccc(OC(C)C)c1-c2ccccc2P(C3CCCCC3)C4CCCCC4,92.2,110,1.787,90.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,600,110,1.09,87.3
Cl[Pd](Nc1ccccc1-c2ccccc2),P(C4CCCCC4)(C3CCCCC3)c1c(cccc1)c2c(cc(cc2C(C)C)C(C)C)C(C)C,60,110,1.413,43.9
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),P(c1ccccc1)(c2ccccc2)c3ccccc3,60,65.3,1.109,0.2
COS(=O)(=O)[O-].[Pd+](Nc1ccccc1-c2ccccc2),CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,189.7,110,1.114,2.9
