entity_key,pool,descriptor_name,value,unit,source_id,source_tier,scale_type,curation_status,notes
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,1.0,,estimated_DFT,B,continuous,ready,Relative Lewis acidity scale with ArB(OH)2=1.0 as reference; boronic acid is the active transmetalation species after base activation
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,0.0,,Lloyd_Jones_2012,A,continuous,ready,ArB(OH)2 protodeboronation reference rate = 0 on log scale; most susceptible boron species; Lloyd-Jones and Leach JACS 2012 pH-rate profile study
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Same C-B BDE as boronic acid; BPin shell does not alter the C-B bond strength significantly
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Similar to ArB(OH)2 after hydrolysis; BPin must hydrolyze before transmetalation in aqueous/protic conditions
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.7,,estimated_DFT,B,continuous,ready,Relative scale vs ArB(OH)2=1.0; BPin chelation constrains geometry and reduces Lewis acidity; requires hydrolysis or direct base activation
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-2.0,,Lloyd_Jones_2021,A,continuous,ready,BPin significantly more stable than B(OH)2 toward protodeboronation; Hayes et al JACS 2021 direct-vs-prehydrolytic pathway study; log rate ~2 orders lower than B(OH)2
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,C-B BDE similar to other boron species; BF3K scaffold does not alter C-B bond strength
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,15.0,,estimated_DFT,B,continuous,ready,HF released upon BF3K hydrolysis; HF pKa in DMSO ~15; controls hydrolysis rate via fluoride displacement
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.9,,estimated_DFT,B,continuous,ready,Tetracoordinate B in BF3K salt; upon hydrolysis to B(OH)2 effective Lewis acidity restored; slow release mechanism; Matos-Suzuki JACS 2006 mechanism
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-4.0,,Lloyd_Jones_2012,A,continuous,ready,Most stable boron species toward protodeboronation; slow release mechanism; ~4 log units more stable than B(OH)2; from Lloyd-Jones JACS 2012 and Science 2008 mechanistic work
handle:boronic_acid,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Generic indazole boronic acid; C-B BDE ~107 kcal/mol
handle:boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Arylboronic acid pKa in DMSO ~22; corresponds to weak Lewis acidity in aprotic media
handle:boronic_acid,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:boronic_acid,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,1.0,,estimated_DFT,B,continuous,ready,Reference value 1.0 for ArB(OH)2
handle:boronic_acid,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,0.0,,Lloyd_Jones_2012,A,continuous,ready,Reference boronic acid protodeboronation rate
handle:boronic_ester,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,
handle:boronic_ester,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Effective pKa after hydrolysis to B(OH)2
handle:boronic_ester,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:boronic_ester,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.7,,estimated_DFT,B,continuous,ready,Same as BPin; ester chelation reduces Lewis acidity vs free boronic acid
handle:boronic_ester,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-2.0,,Lloyd_Jones_2021,A,continuous,ready,Boronate ester more stable than boronic acid; Hayes et al JACS 2021
handle:bromide,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,80.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ar-Br BDE 80 kcal/mol; represents the indazole bromide handle
handle:bromide,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.9,,Izutsu_1990,B,continuous,ready,HBr pKa in DMSO ~0.9
handle:bromide,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,3,,periodic_table_builtin,A,ordinal_semichemical,ready,Standard aryl bromide reactivity
handle:trifluoroborate,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,C-B BDE for trifluoroborate handle
handle:trifluoroborate,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,15.0,,estimated_DFT,B,continuous,ready,HF released upon hydrolysis; pKa in DMSO ~15
handle:trifluoroborate,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:trifluoroborate,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.9,,estimated_DFT,B,continuous,ready,
handle:trifluoroborate,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-4.0,,Lloyd_Jones_2012,A,continuous,ready,Most stable boron species; same as quinoline-6-BF3K
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,80.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-Br BDE 80 kcal/mol from Buchwald (PMC2645957); heteroaryl bromide BDE comparable; slightly lower due to quinoline N activation
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.9,,Izutsu_1990,B,continuous,ready,HBr pKa in DMSO; strong acid regime; approximate from Izutsu solvent effects monograph
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,3,,periodic_table_builtin,A,ordinal_semichemical,ready,Ordinal scale: ArI=4 ArOTf=4 ArBr=3 ArCl=2; Suzuki reactivity order I>OTf>Br>Cl
substrate:6_bromoquinoline,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,,,,,,not_applicable,Not a boron nucleophile; protodeboronation not applicable to aryl halide electrophiles
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,65.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-I BDE 65 kcal/mol; consistent across multiple sources; most reactive aryl halide
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.5,,Izutsu_1990,B,continuous,ready,HI pKa in DMSO; even more acidic than HBr; approximate
substrate:6_iodoquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,4,,periodic_table_builtin,A,ordinal_semichemical,ready,Aryl iodide highest OA reactivity; same tier as ArOTf
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,95.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ph-Cl BDE 95-96 kcal/mol; strongest aryl C-X bond; explains reluctance to OA with Pd
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,1.8,,Izutsu_1990,B,continuous,ready,HCl pKa in DMSO; less acidic than HBr/HI in DMSO relative order
substrate:6_chloroquinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,2,,periodic_table_builtin,A,ordinal_semichemical,ready,Aryl chloride lowest OA reactivity in standard halide series; requires bulky electron-rich phosphines
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,57.0,kcal/mol,estimated_DFT,B,continuous,ready,Ar-OTf C-O BDE estimated ~55-60 kcal/mol from DFT; weaker than Ar-I; exceptional leaving group ability driven by pKa not BDE
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,-4.0,,CRC_97,B,continuous,ready,TfOH (triflic acid) pKa in DMSO ~-4; superacid; strongest leaving group in this dataset
substrate:6_triflatequinoline,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,4,,periodic_table_builtin,A,ordinal_semichemical,ready,Triflate OA reactivity similar to iodide; I>OTf is context-dependent; here assigned 4
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Ar-B bond BDE ~107 kcal/mol; much stronger than Ar-X halide bonds; transmetalation proceeds via boron coordination to Pd-OH not C-B homolysis
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,B(OH)3 pKa in DMSO ~22 (much higher than in water 8.86); boronic acids are weak Lewis acids in aprotic solvents
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic boron partner; OA not applicable to boronic acids in Suzuki cycle; score=0 by convention
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,1.0,,estimated_DFT,B,continuous,ready,Relative Lewis acidity scale with ArB(OH)2=1.0 as reference; boronic acid is the active transmetalation species after base activation
substrate:6_quinoline_boronic_acid,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,0.0,,Lloyd_Jones_2012,A,continuous,ready,ArB(OH)2 protodeboronation reference rate = 0 on log scale; most susceptible boron species; Lloyd-Jones and Leach JACS 2012 pH-rate profile study
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Same C-B BDE as boronic acid; BPin shell does not alter the C-B bond strength significantly
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Similar to ArB(OH)2 after hydrolysis; BPin must hydrolyze before transmetalation in aqueous/protic conditions
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.7,,estimated_DFT,B,continuous,ready,Relative scale vs ArB(OH)2=1.0; BPin chelation constrains geometry and reduces Lewis acidity; requires hydrolysis or direct base activation
substrate:6_quinoline_bpin,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-2.0,,Lloyd_Jones_2021,A,continuous,ready,BPin significantly more stable than B(OH)2 toward protodeboronation; Hayes et al JACS 2021 direct-vs-prehydrolytic pathway study; log rate ~2 orders lower than B(OH)2
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,C-B BDE similar to other boron species; BF3K scaffold does not alter C-B bond strength
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,15.0,,estimated_DFT,B,continuous,ready,HF released upon BF3K hydrolysis; HF pKa in DMSO ~15; controls hydrolysis rate via fluoride displacement
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.9,,estimated_DFT,B,continuous,ready,Tetracoordinate B in BF3K salt; upon hydrolysis to B(OH)2 effective Lewis acidity restored; slow release mechanism; Matos-Suzuki JACS 2006 mechanism
substrate:quinoline_6_bf3k,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-4.0,,Lloyd_Jones_2012,A,continuous,ready,Most stable boron species toward protodeboronation; slow release mechanism; ~4 log units more stable than B(OH)2; from Lloyd-Jones JACS 2012 and Science 2008 mechanistic work
handle:boronic_acid,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,Generic indazole boronic acid; C-B BDE ~107 kcal/mol
handle:boronic_acid,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Arylboronic acid pKa in DMSO ~22; corresponds to weak Lewis acidity in aprotic media
handle:boronic_acid,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:boronic_acid,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,1.0,,estimated_DFT,B,continuous,ready,Reference value 1.0 for ArB(OH)2
handle:boronic_acid,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,0.0,,Lloyd_Jones_2012,A,continuous,ready,Reference boronic acid protodeboronation rate
handle:boronic_ester,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,
handle:boronic_ester,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,22.0,,estimated_DFT,B,continuous,ready,Effective pKa after hydrolysis to B(OH)2
handle:boronic_ester,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:boronic_ester,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.7,,estimated_DFT,B,continuous,ready,Same as BPin; ester chelation reduces Lewis acidity vs free boronic acid
handle:boronic_ester,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-2.0,,Lloyd_Jones_2021,A,continuous,ready,Boronate ester more stable than boronic acid; Hayes et al JACS 2021
handle:bromide,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,80.0,kcal/mol,Buchwald_JACS_2002,A,continuous,ready,Ar-Br BDE 80 kcal/mol; represents the indazole bromide handle
handle:bromide,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,0.9,,Izutsu_1990,B,continuous,ready,HBr pKa in DMSO ~0.9
handle:bromide,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,3,,periodic_table_builtin,A,ordinal_semichemical,ready,Standard aryl bromide reactivity
handle:trifluoroborate,cross_coupling_substrate_physchem,aryl_CX_bond_dissociation_energy_kcal_mol,107.0,kcal/mol,estimated_DFT,B,continuous,ready,C-B BDE for trifluoroborate handle
handle:trifluoroborate,cross_coupling_substrate_physchem,leaving_group_conjugate_acid_pKa_DMSO,15.0,,estimated_DFT,B,continuous,ready,HF released upon hydrolysis; pKa in DMSO ~15
handle:trifluoroborate,cross_coupling_substrate_physchem,oxidative_addition_reactivity_score,0,,periodic_table_builtin,A,ordinal_semichemical,ready,Nucleophilic partner; OA not applicable
handle:trifluoroborate,cross_coupling_substrate_physchem,boron_Lewis_acidity_proxy,0.9,,estimated_DFT,B,continuous,ready,
handle:trifluoroborate,cross_coupling_substrate_physchem,protodeboronation_log_rate_proxy,-4.0,,Lloyd_Jones_2012,A,continuous,ready,Most stable boron species; same as quinoline-6-BF3K
