experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
11,physicochemical_descriptors,3,af_review,10,11,gp,matern32,log_ei,gp/matern32/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,"Selecting UCB with elevated beta=2.0 to force stronger exploration after the model breakdown. The GP with physicochemical embeddings proved catastrophically wrong (predicted 20.8% for actual 60.7%), indicating the model cannot be trusted for exploitation. UCB with high beta prioritizes uncertainty reduction and diverse exploration over greedy improvement. This aligns with the need to: (1) confirm the 60.68% result is reproducible, (2) explore concentration gradients, (3) test alternative K+ carboxylates, and (4) verify DMF alternatives. The high beta compensates for poor uncertainty calibration in the failed embedding space. [CONFIG:v1->v2], [OBS:iter7], [HYPOTHESIS:H3_REVISED]","Switching from Matern52 to Matern32 to better handle the rough, discontinuous response surface revealed by the 40-point prediction error. The Matern32 kernel has a rougher prior that is more tolerant of abrupt categorical effects (ligand identity, solvent) and non-smooth transitions. This addresses the catastrophic model failure where the GP was overconfident and wrong. The chemistry space has sharp boundaries (Brettphos vs non-Brettphos, DMF vs non-DMF) that violate smoothness assumptions. [CONFIG:v1->v2], [OBS:iter7], [RULE:R5]"
12,physicochemical_descriptors,4,af_review,11,12,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",84.67,"Selected Matern-3/2 kernel over Matern-5/2 because the reaction landscape has sharp categorical thresholds (ligand identity, solvent type) rather than smooth gradients. The previous GP failures with Matern-5/2 [CONFIG:v1, v2] suggest over-smoothing. UCB with beta=2.0 provides explicit exploration control to compensate for GP's poor uncertainty calibration on this 51-dimensional physicochemical embedding. LogEI is the default but UCB allows tuning exploration given the model's history of catastrophic failures. Confidence is moderate because the root cause is the embedding method (physicochemical descriptors for purely categorical variables), not just the kernel. Ideally would use Random Forest with one-hot encoding per [HYPOTHESIS:H1_RF_FEASIBILITY], but only GP is available in current BoTorch runtime.","Matern-3/2 is rougher than Matern-5/2 and more tolerant of non-smooth response surfaces. Given the sharp categorical boundaries in this DAR system (tBuBrettPhos vs BrettPhos: 60.68% vs 0.66% with identical other conditions), a rougher kernel is more appropriate than the smoother Matern-5/2 that failed previously. The categorical effects are not smooth in physicochemical embedding space."
13,physicochemical_descriptors,4,af_review,12,13,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"Selected Matern-3/2 kernel over Matern-5/2 because the reaction landscape has sharp categorical thresholds (ligand identity, solvent type) rather than smooth gradients. The previous GP failures with Matern-5/2 [CONFIG:v1, v2] suggest over-smoothing. UCB with beta=2.0 provides explicit exploration control to compensate for GP's poor uncertainty calibration on this 51-dimensional physicochemical embedding. LogEI is the default but UCB allows tuning exploration given the model's history of catastrophic failures. Confidence is moderate because the root cause is the embedding method (physicochemical descriptors for purely categorical variables), not just the kernel. Ideally would use Random Forest with one-hot encoding per [HYPOTHESIS:H1_RF_FEASIBILITY], but only GP is available in current BoTorch runtime.","Matern-3/2 is rougher than Matern-5/2 and more tolerant of non-smooth response surfaces. Given the sharp categorical boundaries in this DAR system (tBuBrettPhos vs BrettPhos: 60.68% vs 0.66% with identical other conditions), a rougher kernel is more appropriate than the smoother Matern-5/2 that failed previously. The categorical effects are not smooth in physicochemical embedding space."
14,physicochemical_descriptors,4,af_review,13,14,gp,matern32,log_ei,gp/matern32/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0.07,"Selected Matern-3/2 kernel over Matern-5/2 because the reaction landscape has sharp categorical thresholds (ligand identity, solvent type) rather than smooth gradients. The previous GP failures with Matern-5/2 [CONFIG:v1, v2] suggest over-smoothing. UCB with beta=2.0 provides explicit exploration control to compensate for GP's poor uncertainty calibration on this 51-dimensional physicochemical embedding. LogEI is the default but UCB allows tuning exploration given the model's history of catastrophic failures. Confidence is moderate because the root cause is the embedding method (physicochemical descriptors for purely categorical variables), not just the kernel. Ideally would use Random Forest with one-hot encoding per [HYPOTHESIS:H1_RF_FEASIBILITY], but only GP is available in current BoTorch runtime.","Matern-3/2 is rougher than Matern-5/2 and more tolerant of non-smooth response surfaces. Given the sharp categorical boundaries in this DAR system (tBuBrettPhos vs BrettPhos: 60.68% vs 0.66% with identical other conditions), a rougher kernel is more appropriate than the smoother Matern-5/2 that failed previously. The categorical effects are not smooth in physicochemical embedding space."
15,physicochemical_descriptors,5,af_review,14,15,gp,matern32,log_ei,gp/matern32/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.153, temperature=120}",78.6,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
16,physicochemical_descriptors,5,af_review,15,16,gp,matern32,log_ei,gp/matern32/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
17,physicochemical_descriptors,5,af_review,16,17,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",78.95,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
18,physicochemical_descriptors,5,af_review,17,18,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.26,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
19,physicochemical_descriptors,5,af_review,18,19,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.15,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
20,physicochemical_descriptors,5,af_review,19,20,gp,matern32,ucb,gp/matern32/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",77.41,"UCB selected with elevated beta=2.0 for explicit exploration control. The campaign is at iteration 14/40 with current best 84.67%, but the last 4 iterations have suffered ModelFittingError and generated catastrophically invalid candidates (wrong ligands, wrong solvents). [RULE:R5] explicitly states 'prioritize reconfiguration or stronger exploration on the next loop.' The elevated beta ensures aggressive exploration of the remaining temperature range (120-140°C) with the validated optimal conditions (K-pivalate/tBuBrettPhos/DMF/0.153M), rather than exploiting the current 84.67% optimum. LogEI would be too exploitative given the need to escape the current failure mode; TS would provide diversity but lacks the explicit exploration tuning needed here.","Matern-3/2 selected over Matern-5/2 because the campaign has demonstrated catastrophic sensitivity to sharp categorical boundaries (tBuBrettPhos vs dimethoxy-Brettphos: 65.37% vs 0.07% yield). The rougher Matern-3/2 kernel is more tolerant of non-smooth response surfaces and abrupt discontinuities, which is critical given the evidence that ligand, solvent, and base are hard categorical constraints rather than continuous optimization variables. [RULE:R5] mandates reconfiguration due to stagnant performance; Matern-3/2 provides more flexibility than the smoother alternatives while maintaining GP uncertainty quantification. The mixed-space kernels (sum_kernel, product_kernel, mixed_sum_product) were considered but the embedding method is fixed to physicochemical_descriptors (51D continuous), making native mixed-space handling unnecessary at the kernel level."
