experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
11,fingerprint_concat,2,af_review,10,11,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",77.41,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
12,fingerprint_concat,2,af_review,11,12,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",88.41,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
13,fingerprint_concat,2,af_review,12,13,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
14,fingerprint_concat,2,af_review,13,14,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=90}",60.68,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
15,fingerprint_concat,2,af_review,14,15,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",48.86,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
16,fingerprint_concat,2,af_review,15,16,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=120}",67.04,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
17,fingerprint_concat,2,af_review,16,17,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=120}",66.49,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
18,fingerprint_concat,2,af_review,17,18,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
19,fingerprint_concat,2,af_review,18,19,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=120}",73.71,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
20,fingerprint_concat,2,af_review,19,20,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",78.95,"Upper Confidence Bound (UCB) selected with β=2.0 to prioritize early exploration. Rationale: (a) This is iteration 0 with zero observations—we need aggressive exploration to map the response surface; (b) Hypothesis H1 (electron push-pull matching) has high confidence and provides a strong prior, but we must still explore diverse diene/dienophile combinations to validate it and avoid premature convergence; (c) The categorical-heavy space (5 categorical variables, 26 total categories) likely contains discrete optima that pure improvement-based acquisition might miss early on; (d) UCB's explicit exploration-exploitation control allows us to dial down β in later iterations (e.g., to 1.0 or 0.5) as we transition to exploitation. LogEI was considered as the default but UCB's tunable exploration better serves the early campaign phase.","Default Matérn-5/2 kernel selected as the safe general-purpose baseline for low-data BO. Chemistry response surfaces (yield vs. molecular descriptors) are typically moderately smooth, and Matern-5/2 provides appropriate flexibility without overfitting. This avoids the stronger smoothness prior of RBF (which may miss abrupt categorical effects) and the rougher Matern-3/2 (which may be unnecessarily pessimistic). The spectral mixture kernel (SMKBO) was considered but deferred due to limited initial data (budget=40, currently 0 observations)."
