experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
11,physicochemical_descriptors,3,af_review,10,11,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",29.31,"Switching from log_ei to UCB with elevated beta=2.0 for explicit exploration control. The campaign just achieved a dramatic breakthrough (78.95% yield) that overturned prior understanding. We need aggressive exploration to: (1) test H1 by screening other bidentate phosphines (dppf, BINAP, DPEphos), (2) test H3/H4 by optimizing concentration and temperature around the Xantphos lead, and (3) escape the local optimum trap that previously limited us to PPh3. The high beta prioritizes uncertainty reduction in unexplored regions of the 51D descriptor space, which is critical given the GP model instability with n=10, dim=51. Standard log_ei would over-exploit the known Xantphos optimum; UCB with beta=2.0 balances exploiting the breakthrough with exploring the broader bidentate ligand landscape and reaction condition space. [RULE:R3] [HYPOTHESIS:H1] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","The 51D physicochemical descriptor embedding is problematic for standard GP kernels with only 10 observations (H5). The mixed_sum_product kernel provides a balanced approach for encoded mixed spaces with both main effects and interactions. Given the breakthrough discovery that bidentate chelation (not just steric factors) drives yield, we need a kernel that can capture complex interaction structures between ligand features and other variables. This kernel is specifically designed for encoded chemistry search spaces with uncertain interaction structure, making it superior to plain Matern-5/2 for this reconfiguration. [RULE:R3] [HYPOTHESIS:H5]"
12,physicochemical_descriptors,3,af_review,11,12,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",28.64,"Switching from log_ei to UCB with elevated beta=2.0 for explicit exploration control. The campaign just achieved a dramatic breakthrough (78.95% yield) that overturned prior understanding. We need aggressive exploration to: (1) test H1 by screening other bidentate phosphines (dppf, BINAP, DPEphos), (2) test H3/H4 by optimizing concentration and temperature around the Xantphos lead, and (3) escape the local optimum trap that previously limited us to PPh3. The high beta prioritizes uncertainty reduction in unexplored regions of the 51D descriptor space, which is critical given the GP model instability with n=10, dim=51. Standard log_ei would over-exploit the known Xantphos optimum; UCB with beta=2.0 balances exploiting the breakthrough with exploring the broader bidentate ligand landscape and reaction condition space. [RULE:R3] [HYPOTHESIS:H1] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","The 51D physicochemical descriptor embedding is problematic for standard GP kernels with only 10 observations (H5). The mixed_sum_product kernel provides a balanced approach for encoded mixed spaces with both main effects and interactions. Given the breakthrough discovery that bidentate chelation (not just steric factors) drives yield, we need a kernel that can capture complex interaction structures between ligand features and other variables. This kernel is specifically designed for encoded chemistry search spaces with uncertain interaction structure, making it superior to plain Matern-5/2 for this reconfiguration. [RULE:R3] [HYPOTHESIS:H5]"
13,physicochemical_descriptors,3,af_review,12,13,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",68.71,"Switching from log_ei to UCB with elevated beta=2.0 for explicit exploration control. The campaign just achieved a dramatic breakthrough (78.95% yield) that overturned prior understanding. We need aggressive exploration to: (1) test H1 by screening other bidentate phosphines (dppf, BINAP, DPEphos), (2) test H3/H4 by optimizing concentration and temperature around the Xantphos lead, and (3) escape the local optimum trap that previously limited us to PPh3. The high beta prioritizes uncertainty reduction in unexplored regions of the 51D descriptor space, which is critical given the GP model instability with n=10, dim=51. Standard log_ei would over-exploit the known Xantphos optimum; UCB with beta=2.0 balances exploiting the breakthrough with exploring the broader bidentate ligand landscape and reaction condition space. [RULE:R3] [HYPOTHESIS:H1] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","The 51D physicochemical descriptor embedding is problematic for standard GP kernels with only 10 observations (H5). The mixed_sum_product kernel provides a balanced approach for encoded mixed spaces with both main effects and interactions. Given the breakthrough discovery that bidentate chelation (not just steric factors) drives yield, we need a kernel that can capture complex interaction structures between ligand features and other variables. This kernel is specifically designed for encoded chemistry search spaces with uncertain interaction structure, making it superior to plain Matern-5/2 for this reconfiguration. [RULE:R3] [HYPOTHESIS:H5]"
14,physicochemical_descriptors,3,af_review,13,14,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",57.33,"Switching from log_ei to UCB with elevated beta=2.0 for explicit exploration control. The campaign just achieved a dramatic breakthrough (78.95% yield) that overturned prior understanding. We need aggressive exploration to: (1) test H1 by screening other bidentate phosphines (dppf, BINAP, DPEphos), (2) test H3/H4 by optimizing concentration and temperature around the Xantphos lead, and (3) escape the local optimum trap that previously limited us to PPh3. The high beta prioritizes uncertainty reduction in unexplored regions of the 51D descriptor space, which is critical given the GP model instability with n=10, dim=51. Standard log_ei would over-exploit the known Xantphos optimum; UCB with beta=2.0 balances exploiting the breakthrough with exploring the broader bidentate ligand landscape and reaction condition space. [RULE:R3] [HYPOTHESIS:H1] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","The 51D physicochemical descriptor embedding is problematic for standard GP kernels with only 10 observations (H5). The mixed_sum_product kernel provides a balanced approach for encoded mixed spaces with both main effects and interactions. Given the breakthrough discovery that bidentate chelation (not just steric factors) drives yield, we need a kernel that can capture complex interaction structures between ligand features and other variables. This kernel is specifically designed for encoded chemistry search spaces with uncertain interaction structure, making it superior to plain Matern-5/2 for this reconfiguration. [RULE:R3] [HYPOTHESIS:H5]"
15,physicochemical_descriptors,3,af_review,14,15,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.26,"Switching from log_ei to UCB with elevated beta=2.0 for explicit exploration control. The campaign just achieved a dramatic breakthrough (78.95% yield) that overturned prior understanding. We need aggressive exploration to: (1) test H1 by screening other bidentate phosphines (dppf, BINAP, DPEphos), (2) test H3/H4 by optimizing concentration and temperature around the Xantphos lead, and (3) escape the local optimum trap that previously limited us to PPh3. The high beta prioritizes uncertainty reduction in unexplored regions of the 51D descriptor space, which is critical given the GP model instability with n=10, dim=51. Standard log_ei would over-exploit the known Xantphos optimum; UCB with beta=2.0 balances exploiting the breakthrough with exploring the broader bidentate ligand landscape and reaction condition space. [RULE:R3] [HYPOTHESIS:H1] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","The 51D physicochemical descriptor embedding is problematic for standard GP kernels with only 10 observations (H5). The mixed_sum_product kernel provides a balanced approach for encoded mixed spaces with both main effects and interactions. Given the breakthrough discovery that bidentate chelation (not just steric factors) drives yield, we need a kernel that can capture complex interaction structures between ligand features and other variables. This kernel is specifically designed for encoded chemistry search spaces with uncertain interaction structure, making it superior to plain Matern-5/2 for this reconfiguration. [RULE:R3] [HYPOTHESIS:H5]"
16,physicochemical_descriptors,4,af_review,15,16,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",7.62,"UCB with elevated beta=2.0 is selected to drive aggressive exploration following the catastrophic failure at iteration 15 (7.26% with PCy3). The campaign has 25 iterations remaining and needs to: (a) test bidentate phosphine analogs (dppf, BINAP, DPEphos per H1-bidentate-chelation), (b) verify K+ specificity (H2-counterion-specificity), and (c) fine-tune concentration/temperature (H3, H4). The current best of 78.95% at iteration 10 has not been improved in 5 iterations, indicating the need for structured exploration rather than pure exploitation. Beta=2.0 balances finding new high-yield regions (exploration) with refining the known optimum (exploitation). LogEI would over-exploit given the model uncertainty from embedding failures. [OBS:iter10-15] [HYPOTHESIS:H1-bidentate-chelation] [RULE:R3]","The campaign has demonstrated strong interaction effects between base_SMILES and ligand_SMILES (R9, confidence 0.95), particularly the K+/Xantphos synergy that yields 78.95% vs Cs+/Xantphos at 29.31%. The mixed_sum_product kernel explicitly models both main effects and interactions through its weighted blend of additive and multiplicative components, making it superior to pure matern52 for this chemistry space. This matches the prior successful config (v2) and addresses H5-embedding-failure by providing structural inductive bias that compensates for the high-dimensional embedding. [RULE:R9] [HYPOTHESIS:H5-embedding-failure] [CONFIG:v2]"
17,physicochemical_descriptors,4,af_review,16,17,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",24.8,"UCB with elevated beta=2.0 is selected to drive aggressive exploration following the catastrophic failure at iteration 15 (7.26% with PCy3). The campaign has 25 iterations remaining and needs to: (a) test bidentate phosphine analogs (dppf, BINAP, DPEphos per H1-bidentate-chelation), (b) verify K+ specificity (H2-counterion-specificity), and (c) fine-tune concentration/temperature (H3, H4). The current best of 78.95% at iteration 10 has not been improved in 5 iterations, indicating the need for structured exploration rather than pure exploitation. Beta=2.0 balances finding new high-yield regions (exploration) with refining the known optimum (exploitation). LogEI would over-exploit given the model uncertainty from embedding failures. [OBS:iter10-15] [HYPOTHESIS:H1-bidentate-chelation] [RULE:R3]","The campaign has demonstrated strong interaction effects between base_SMILES and ligand_SMILES (R9, confidence 0.95), particularly the K+/Xantphos synergy that yields 78.95% vs Cs+/Xantphos at 29.31%. The mixed_sum_product kernel explicitly models both main effects and interactions through its weighted blend of additive and multiplicative components, making it superior to pure matern52 for this chemistry space. This matches the prior successful config (v2) and addresses H5-embedding-failure by providing structural inductive bias that compensates for the high-dimensional embedding. [RULE:R9] [HYPOTHESIS:H5-embedding-failure] [CONFIG:v2]"
18,physicochemical_descriptors,4,af_review,17,18,gp,mixed_sum_product,ts,gp/mixed_sum_product/ts,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",3.33,"UCB with elevated beta=2.0 is selected to drive aggressive exploration following the catastrophic failure at iteration 15 (7.26% with PCy3). The campaign has 25 iterations remaining and needs to: (a) test bidentate phosphine analogs (dppf, BINAP, DPEphos per H1-bidentate-chelation), (b) verify K+ specificity (H2-counterion-specificity), and (c) fine-tune concentration/temperature (H3, H4). The current best of 78.95% at iteration 10 has not been improved in 5 iterations, indicating the need for structured exploration rather than pure exploitation. Beta=2.0 balances finding new high-yield regions (exploration) with refining the known optimum (exploitation). LogEI would over-exploit given the model uncertainty from embedding failures. [OBS:iter10-15] [HYPOTHESIS:H1-bidentate-chelation] [RULE:R3]","The campaign has demonstrated strong interaction effects between base_SMILES and ligand_SMILES (R9, confidence 0.95), particularly the K+/Xantphos synergy that yields 78.95% vs Cs+/Xantphos at 29.31%. The mixed_sum_product kernel explicitly models both main effects and interactions through its weighted blend of additive and multiplicative components, making it superior to pure matern52 for this chemistry space. This matches the prior successful config (v2) and addresses H5-embedding-failure by providing structural inductive bias that compensates for the high-dimensional embedding. [RULE:R9] [HYPOTHESIS:H5-embedding-failure] [CONFIG:v2]"
19,physicochemical_descriptors,4,af_review,18,19,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"UCB with elevated beta=2.0 is selected to drive aggressive exploration following the catastrophic failure at iteration 15 (7.26% with PCy3). The campaign has 25 iterations remaining and needs to: (a) test bidentate phosphine analogs (dppf, BINAP, DPEphos per H1-bidentate-chelation), (b) verify K+ specificity (H2-counterion-specificity), and (c) fine-tune concentration/temperature (H3, H4). The current best of 78.95% at iteration 10 has not been improved in 5 iterations, indicating the need for structured exploration rather than pure exploitation. Beta=2.0 balances finding new high-yield regions (exploration) with refining the known optimum (exploitation). LogEI would over-exploit given the model uncertainty from embedding failures. [OBS:iter10-15] [HYPOTHESIS:H1-bidentate-chelation] [RULE:R3]","The campaign has demonstrated strong interaction effects between base_SMILES and ligand_SMILES (R9, confidence 0.95), particularly the K+/Xantphos synergy that yields 78.95% vs Cs+/Xantphos at 29.31%. The mixed_sum_product kernel explicitly models both main effects and interactions through its weighted blend of additive and multiplicative components, making it superior to pure matern52 for this chemistry space. This matches the prior successful config (v2) and addresses H5-embedding-failure by providing structural inductive bias that compensates for the high-dimensional embedding. [RULE:R9] [HYPOTHESIS:H5-embedding-failure] [CONFIG:v2]"
20,physicochemical_descriptors,4,af_review,19,20,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",48.86,"UCB with elevated beta=2.0 is selected to drive aggressive exploration following the catastrophic failure at iteration 15 (7.26% with PCy3). The campaign has 25 iterations remaining and needs to: (a) test bidentate phosphine analogs (dppf, BINAP, DPEphos per H1-bidentate-chelation), (b) verify K+ specificity (H2-counterion-specificity), and (c) fine-tune concentration/temperature (H3, H4). The current best of 78.95% at iteration 10 has not been improved in 5 iterations, indicating the need for structured exploration rather than pure exploitation. Beta=2.0 balances finding new high-yield regions (exploration) with refining the known optimum (exploitation). LogEI would over-exploit given the model uncertainty from embedding failures. [OBS:iter10-15] [HYPOTHESIS:H1-bidentate-chelation] [RULE:R3]","The campaign has demonstrated strong interaction effects between base_SMILES and ligand_SMILES (R9, confidence 0.95), particularly the K+/Xantphos synergy that yields 78.95% vs Cs+/Xantphos at 29.31%. The mixed_sum_product kernel explicitly models both main effects and interactions through its weighted blend of additive and multiplicative components, making it superior to pure matern52 for this chemistry space. This matches the prior successful config (v2) and addresses H5-embedding-failure by providing structural inductive bias that compensates for the high-dimensional embedding. [RULE:R9] [HYPOTHESIS:H5-embedding-failure] [CONFIG:v2]"
