entity_key,canonical_name,entity_kind,smiles,inchi_key,formula,source_id,curation_status,notes
mol:KPiv,Potassium pivalate,base,O=C([O-])C(C)(C)C.[K+],,C5H9KO2,rdkit_programmatic,ready,
mol:CsOAc,Cesium acetate,base,O=C([O-])C.[Cs+],,C2H3CsO2,rdkit_programmatic,ready,
mol:KOAc,Potassium acetate,base,O=C([O-])C.[K+],,C2H3KO2,rdkit_programmatic,ready,
mol:PtBu2Ph,Di-tert-butylphenylphosphine,ligand,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,,,rdkit_programmatic,ready,
mol:CPhos_variant,CPhos variant,ligand,CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C,,,rdkit_programmatic,ready,
mol:DavePhos_variant,DavePhos variant,ligand,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,,,rdkit_programmatic,ready,
mol:PMe2Ph,Dimethylphenylphosphine,ligand,CP(C)C1=CC=CC=C1,,,rdkit_programmatic,ready,
mol:PMePh2,Methyldiphenylphosphine,ligand,CP(C1=CC=CC=C1)C2=CC=CC=C2,,,rdkit_programmatic,ready,
mol:CgMePPh,CgMePPh,ligand,C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1,,,rdkit_programmatic,ready,
mol:CF3_SPhos_variant,CF3 SPhos variant,ligand,FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,,,rdkit_programmatic,ready,
mol:PFur3,Tris(2-furyl)phosphine,ligand,P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3,,,rdkit_programmatic,ready,
