dataset,variable,raw_value,entity_key,role,allow_absent,curation_status,notes
ocm,M2,Zn,element:Zn,metal_promoter,false,ready,
ocm,M2,n.a.,absent:metal_none,metal_promoter,true,ready,structural absence
ocm,M3,Mo,element:Mo,metal_selector,false,ready,
ocm,M3,W,element:W,metal_selector,false,ready,
ocm,M3,n.a.,absent:metal_none,metal_selector,true,ready,structural absence
ocm,Support,Al2O3,support:Al2O3,support,false,ready,
ocm,Support,BEA,support:BEA,support,false,ready,zeolite framework formula only; pore/acidity descriptors deferred
ocm,Support,BN,support:BN,support,false,ready,
ocm,Support,CeO2,support:CeO2,support,false,ready,
ocm,Support,MgO,support:MgO,support,false,ready,
ocm,Support,Nb2O5,support:Nb2O5,support,false,ready,
ocm,Support,SiC,support:SiC,support,false,ready,
ocm,Support,SiCnf,support:SiCnf,support,false,ready,must not alias to support:SiC
ocm,Support,SiO2,support:SiO2,support,false,ready,
ocm,Support,TiO2,support:TiO2,support,false,ready,
ocm,Support,ZSM-5,support:ZSM5,support,false,ready,zeolite framework formula only; pore/acidity descriptors deferred
ocm,Support,ZrO2,support:ZrO2,support,false,ready,
ocm,Support,n.a.,absent:support_none,support,true,ready,structural absence
dar,base_SMILES,O=C([O-])C(C)(C)C.[Cs+],mol:CsPiv,base,false,ready,cesium pivalate
dar,base_SMILES,O=C([O-])C(C)(C)C.[K+],mol:KPiv,base,false,ready,potassium pivalate
dar,base_SMILES,O=C([O-])C.[Cs+],mol:CsOAc,base,false,ready,cesium acetate
dar,base_SMILES,O=C([O-])C.[K+],mol:KOAc,base,false,ready,potassium acetate
dar,solvent_SMILES,CC(N(C)C)=O,mol:DMA,solvent,false,ready,"N,N-dimethylacetamide"
dar,solvent_SMILES,CC1=CC=C(C)C=C1,mol:toluene,solvent,false,ready,mapped to aromatic hydrocarbon solvent descriptor
dar,solvent_SMILES,CCCC#N,mol:BuCN,solvent,false,ready,butyronitrile
dar,solvent_SMILES,CCCCOC(C)=O,mol:BuOAc,solvent,false,ready,butyl acetate
dar,ligand_SMILES,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,mol:PtBu2Ph,ligand,false,ready,
dar,ligand_SMILES,CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,mol:SPhos,ligand,false,ready,
dar,ligand_SMILES,CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,mol:XPhos,ligand,false,ready,
dar,ligand_SMILES,CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C,mol:CPhos_variant,ligand,false,ready,
dar,ligand_SMILES,CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,mol:DavePhos_variant,ligand,false,ready,
dar,ligand_SMILES,CP(C)C1=CC=CC=C1,mol:PMe2Ph,ligand,false,ready,
dar,ligand_SMILES,CP(C1=CC=CC=C1)C2=CC=CC=C2,mol:PMePh2,ligand,false,ready,
dar,ligand_SMILES,C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1,mol:CgMePPh,ligand,false,ready,
dar,ligand_SMILES,FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1,mol:CF3_SPhos_variant,ligand,false,ready,
dar,ligand_SMILES,P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,mol:PPh3,ligand,false,ready,
dar,ligand_SMILES,P(C1=CC=CO1)(C2=CC=CO2)C3=CC=CO3,mol:PFur3,ligand,false,ready,
dar,ligand_SMILES,P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,mol:PCy3,ligand,false,ready,
