experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
11,one_hot,3,af_review,10,11,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",80.39,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
12,one_hot,3,af_review,11,12,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",84.49,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
13,one_hot,3,af_review,12,13,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",84.81,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
14,one_hot,3,af_review,13,14,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
15,one_hot,3,af_review,14,15,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0.07,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
16,one_hot,3,af_review,15,16,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",88.41,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
17,one_hot,3,af_review,16,17,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
18,one_hot,3,af_review,17,18,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",84.67,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
19,one_hot,3,af_review,18,19,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",84.81,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
20,one_hot,3,af_review,19,20,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=120}",88.41,"Selected UCB with beta=2.0 over the default log_ei. Rationale: (1) We just achieved a dramatic breakthrough (38.48% vs previous best 5.47%) with a Xantphos-type ligand, fundamentally changing the optimization landscape. (2) The campaign has 35 iterations remaining out of 40, so we are still in early exploration phase. (3) Active hypotheses suggest multiple untested directions that could yield further improvements: Cs+ vs K+ effects, concentration optimization, other Xantphos derivatives, solvent polarity variations. (4) UCB with elevated beta=2.0 provides explicit exploration control to avoid premature convergence on the current best while still exploiting the Xantphos scaffold. (5) After 2-3 more iterations confirming the Xantphos regime, we can reduce beta for more exploitation. [RULE:R1] [HYPOTHESIS:H1] [HYPOTHESIS:H2] [HYPOTHESIS:H3] [HYPOTHESIS:H4] [HYPOTHESIS:H5]","Matern-5/2 is the default general-purpose kernel for BoTorch BO. It provides a good balance of smoothness and flexibility for encoded categorical spaces. With only 5 observations and 26-dimensional one-hot encoding, we need a robust kernel that won't overfit. Matern-5/2 is less smooth than RBF (better for categorical effects) and more stable than Matern-3/2 in very low data. The Xantphos breakthrough suggests some smooth structure in ligand space that Matern-5/2 can capture without imposing excessive smoothness."
