precatalyst_SMILES,base_SMILES,base_concentration,base_equivalents,temperature,t_res,yld
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,75,74,94
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.47,1.6,83,1574,98
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.50,1.6,83,1745,100
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,100,1620,24
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,100,1410,0
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,100,1636,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,100,1403,7
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.39,1.5,30,75,4
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.01,1.1,65,1442,9
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,100,1562,100
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,30,429,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,65,81,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,30,1442,6
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.80,2.0,65,79,2
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,100,89,51
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,100,1536,84
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,65,1370,50
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,30,77,22
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,0.99,1.1,30,1669,6
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.00,1.1,30,411,1
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,30,77,15
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.01,1.1,100,77,26
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.40,1.5,100,1662,16
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,0.99,1.1,100,515,27
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.40,1.5,65,432,97
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,100,526,58
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.67,1.8,100,410,87
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,C1CCC2=NCCCN2CC1,1.41,1.5,100,443,14
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.49,1.6,100,404,34
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.36,1.5,100,421,98
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,91,346,68
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CN1CCCN2C1=NCCC2,1.80,2.0,91,325,38
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,91,277,98
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,48,418,62
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,48,359,14
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,82,614,66
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,82,514,97
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,92,768,90
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.33,1.5,97,568,98
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,92,811,92
CC(C)C1=CC(=C(C(=C1)C(C)C)C2=C(C=CC(=C2P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.40,1.5,94,587,99
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.80,2.0,100,75,99
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.80,2.0,65,75,3
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.01,1.1,100,78,65
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,100,544,92
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.01,1.1,65,1542,71
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,100,492,82
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.00,1.1,65,77,8
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,30,77,6
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.80,2.0,30,395,5
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,1.40,1.5,65,498,31
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,1.80,2.0,100,1712,97
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.00,1.1,30,540,3
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.00,1.1,30,1601,84
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,100,1376,75
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.40,1.5,100,1380,29
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.80,2.0,30,1675,93
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.39,1.5,30,75,14
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,0.99,1.1,30,75,5
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.80,2.0,65,1624,95
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,C1CCC2=NCCCN2CC1,1.19,1.3,100,1702,42
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,1.40,1.5,100,1442,97
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CN1CCCN2C1=NCCC2,1.53,1.7,100,1650,93
CCCCC1=C(C(=C(C(=C1F)F)C2=C(C=C(C(=C2C(C)C)C3=C(C(=CC=C3)OC)P(C45CC6CC(C4)CC(C6)C5)C78CC9CC(C7)CC(C9)C8)C(C)C)C(C)C)F)F,CC(C)(C)N=C(N(C)C)N(C)C,1.45,1.6,100,1595,98
